index,total_transactions,anomalous_transactions_detected,anomalous_transaction_pct
87,6,1,16.666666666666664
160,7364,72,0.9777294948397609
164,18866,185,0.9806000212021626
165,19492,189,0.9696285655653601
168,4245,33,0.7773851590106008
197,13,1,7.6923076923076925
236,30,1,3.3333333333333335
314,4933,44,0.8919521589296575
315,5109,49,0.9590917987864553
353,38052,239,0.6280878797435089
361,6257,59,0.9429439028288318
363,34159,327,0.9572879768143095
364,109967,949,0.862986168577846
365,144843,963,0.6648578115614838
373,10832,68,0.6277695716395865
