a_idx,date,amount,holding_party_id,counter_party_id,holding_party_country,counter_party_country,tx_type,hour,day_of_week,month,explanation,transaction_anomaly_score
13012597,2020-01-05 02:11:37,660.0,365,90262,DE,CH,credit,2,6,1,"unusual amount ($660), transaction at unusual hour (2:00), unusual activity in month 1",-0.07857909277219233
466874,2019-07-07 00:05:32,714.5,365,217270,DE,AT,credit,0,6,7,"unusual amount ($714), unusual time of day (0:00), rare counter party country",-0.07211550880956963
466876,2019-07-07 00:05:32,714.5,365,217270,DE,AT,credit,0,6,7,"unusual amount ($714), unusual time of day (0:00), rare counter party country",-0.07211550880956963
15542387,2020-02-16 15:22:38,968.0,365,185616,DE,PT,credit,15,6,2,"unusual amount ($968), rare counter party country, unusual activity in month 2",-0.06707791201909541
15542947,2020-02-16 15:31:32,968.0,365,185616,DE,PT,credit,15,6,2,"unusual amount ($968), rare counter party country, unusual activity in month 2",-0.06707791201909541
11127886,2019-12-08 00:16:22,840.0,365,327610,DE,CH,credit,0,6,12,"unusual amount ($840), unusual time of day (0:00), transaction on Sunday",-0.06503088509545463
13083141,2020-01-06 07:56:33,1003.5,365,341887,DE,CH,credit,7,0,1,"unusual amount ($1,004), unusual activity in month 1, transaction on Monday",-0.06355517681861367
12595815,2019-12-29 00:06:16,802.95,365,328418,DE,CH,credit,0,6,12,"unusual amount ($803), unusual time of day (0:00), transaction on Sunday",-0.06317458268709908
12595817,2019-12-29 00:06:16,802.95,365,328418,DE,CH,credit,0,6,12,"unusual amount ($803), unusual time of day (0:00), transaction on Sunday",-0.06317458268709908
10756113,2019-12-03 02:10:11,459.0,365,336907,DE,RU,credit,2,1,12,"transaction at unusual hour (2:00), rare counter party country, unusual amount ($459)",-0.05954370559227584
10756111,2019-12-03 02:10:11,459.0,365,336907,DE,RU,credit,2,1,12,"transaction at unusual hour (2:00), rare counter party country, unusual amount ($459)",-0.05954370559227584
13011928,2020-01-05 00:35:51,200.5,365,91695,DE,RU,credit,0,6,1,"unusual time of day (0:00), rare counter party country, unusual activity in month 1",-0.05860723268769785
13011930,2020-01-05 00:35:51,200.5,365,91695,DE,RU,credit,0,6,1,"unusual time of day (0:00), rare counter party country, unusual activity in month 1",-0.05860723268769785
12748707,2019-12-31 00:01:25,804.0,365,277927,DE,CH,credit,0,1,12,"unusual amount ($804), unusual time of day (0:00), rare counter party country",-0.05777656089331129
12748731,2019-12-31 00:03:12,804.0,365,277927,DE,CH,credit,0,1,12,"unusual amount ($804), unusual time of day (0:00), rare counter party country",-0.05777656089331129
12748733,2019-12-31 00:03:12,804.0,365,277927,DE,CH,credit,0,1,12,"unusual amount ($804), unusual time of day (0:00), rare counter party country",-0.05777656089331129
12748698,2019-12-31 00:00:11,804.0,365,277927,DE,CH,credit,0,1,12,"unusual amount ($804), unusual time of day (0:00), rare counter party country",-0.05777656089331129
16011791,2020-02-23 21:23:24,707.5,365,218236,DE,NL,credit,21,6,2,"unusual amount ($708), rare counter party country, unusual activity in month 2",-0.05703614825996273
16011793,2020-02-23 21:23:24,707.5,365,218236,DE,NL,credit,21,6,2,"unusual amount ($708), rare counter party country, unusual activity in month 2",-0.05703614825996273
1542012,2019-07-22 00:56:30,434.0,365,224256,DE,PL,credit,0,0,7,"unusual time of day (0:00), rare counter party country, unusual amount ($434)",-0.05619869548127343
1542010,2019-07-22 00:56:30,434.0,365,224256,DE,PL,credit,0,0,7,"unusual time of day (0:00), rare counter party country, unusual amount ($434)",-0.05619869548127343
2006966,2019-07-28 02:16:24,474.0,365,217772,DE,NL,credit,2,6,7,"transaction at unusual hour (2:00), rare counter party country, unusual amount ($474)",-0.05509187024341122
13135101,2020-01-06 10:49:32,960.0,365,128014,DE,FR,credit,10,0,1,"unusual amount ($960), unusual activity in month 1, transaction on Monday",-0.0543938995538622
13135103,2020-01-06 10:49:32,960.0,365,128014,DE,FR,credit,10,0,1,"unusual amount ($960), unusual activity in month 1, transaction on Monday",-0.0543938995538622
12349242,2019-12-25 10:05:17,1050.0,365,218367,DE,NL,credit,10,2,12,"unusual amount ($1,050), rare counter party country, unusual activity in month 12",-0.05419070332215781
12349280,2019-12-25 10:07:09,1050.0,365,290353,DE,NL,credit,10,2,12,"unusual amount ($1,050), rare counter party country, unusual activity in month 12",-0.05419070332215781
12349226,2019-12-25 10:02:53,1050.0,365,218367,DE,NL,credit,10,2,12,"unusual amount ($1,050), rare counter party country, unusual activity in month 12",-0.05419070332215781
12349240,2019-12-25 10:05:17,1050.0,365,218367,DE,NL,credit,10,2,12,"unusual amount ($1,050), rare counter party country, unusual activity in month 12",-0.05419070332215781
13124693,2020-01-06 23:34:26,1014.0,365,219859,DE,DE,credit,23,0,1,"unusual amount ($1,014), unusual activity in month 1, transaction at unusual hour (23:00)",-0.05281434603158408
13124691,2020-01-06 23:34:26,1014.0,365,219859,DE,DE,credit,23,0,1,"unusual amount ($1,014), unusual activity in month 1, transaction at unusual hour (23:00)",-0.05281434603158408
48793,2019-06-30 23:30:17,492.5,365,312110,DE,SE,credit,23,6,6,"rare counter party country, unusual amount ($492), transaction at unusual hour (23:00)",-0.052647953986335705
48815,2019-06-30 23:31:51,492.5,365,312110,DE,SE,credit,23,6,6,"rare counter party country, unusual amount ($492), transaction at unusual hour (23:00)",-0.052647953986335705
13234960,2020-01-08 21:39:20,814.0,365,217526,DE,NL,credit,21,2,1,"unusual amount ($814), rare counter party country, unusual activity in month 1",-0.051635722587719646
14309666,2020-01-28 02:44:40,110.0,365,343575,DE,US,credit,2,1,1,"rare counter party country, transaction at unusual hour (2:00), unusual activity in month 1",-0.05137219391981618
14309664,2020-01-28 02:44:40,110.0,365,343575,DE,US,credit,2,1,1,"rare counter party country, transaction at unusual hour (2:00), unusual activity in month 1",-0.05137219391981618
4182080,2019-08-25 01:07:31,591.0,365,338390,DE,VN,credit,1,6,8,"transaction at unusual hour (1:00), unusual amount ($591), rare counter party country",-0.05103364835455293
4182078,2019-08-25 01:07:31,591.0,365,338390,DE,VN,credit,1,6,8,"transaction at unusual hour (1:00), unusual amount ($591), rare counter party country",-0.05103364835455293
5629872,2019-09-16 02:46:19,260.0,365,245100,DE,US,credit,2,0,9,"transaction at unusual hour (2:00), rare counter party country, unusual amount ($260)",-0.05073784072060927
5629870,2019-09-16 02:46:19,260.0,365,245100,DE,US,credit,2,0,9,"transaction at unusual hour (2:00), rare counter party country, unusual amount ($260)",-0.05073784072060927
14364371,2020-01-29 00:49:47,55.0,365,289006,DE,US,credit,0,2,1,"unusual time of day (0:00), rare counter party country, unusual activity in month 1",-0.04994001696712458
14364369,2020-01-29 00:49:47,55.0,365,289006,DE,US,credit,0,2,1,"unusual time of day (0:00), rare counter party country, unusual activity in month 1",-0.04994001696712458
14364396,2020-01-29 00:57:35,55.0,365,289007,DE,US,credit,0,2,1,"unusual time of day (0:00), rare counter party country, unusual activity in month 1",-0.04994001696712458
14610941,2020-02-01 11:58:13,642.5,365,340648,DE,US,credit,11,5,2,"unusual amount ($642), rare counter party country, unusual activity in month 2",-0.04876539888194964
15155894,2020-02-10 15:36:43,936.0,365,282997,DE,BE,credit,15,0,2,"unusual amount ($936), unusual activity in month 2, rare counter party country",-0.04854489029506015
13021862,2020-01-04 21:42:54,888.0,365,288459,DE,BE,credit,21,5,1,"unusual amount ($888), unusual activity in month 1, rare counter party country",-0.04834665766692847
13021864,2020-01-04 21:42:54,888.0,365,288459,DE,BE,credit,21,5,1,"unusual amount ($888), unusual activity in month 1, rare counter party country",-0.04834665766692847
13021613,2020-01-04 21:37:15,888.0,365,288459,DE,BE,credit,21,5,1,"unusual amount ($888), unusual activity in month 1, rare counter party country",-0.04834665766692847
14628569,2020-02-01 12:09:15,635.5,365,340648,DE,US,credit,12,5,2,"unusual amount ($636), rare counter party country, unusual activity in month 2",-0.04785861482926734
2066278,2019-07-29 00:11:47,208.0,365,96644,DE,US,credit,0,0,7,"unusual time of day (0:00), rare counter party country, transaction on Monday",-0.047133273553423005
2066280,2019-07-29 00:11:47,208.0,365,96644,DE,US,credit,0,0,7,"unusual time of day (0:00), rare counter party country, transaction on Monday",-0.047133273553423005
14303588,2020-01-27 20:19:20,928.0,365,230662,DE,BE,credit,20,0,1,"unusual amount ($928), unusual activity in month 1, rare counter party country",-0.047068624123627556
14303586,2020-01-27 20:19:20,928.0,365,230662,DE,BE,credit,20,0,1,"unusual amount ($928), unusual activity in month 1, rare counter party country",-0.047068624123627556
16007467,2020-02-23 19:58:29,529.0,365,217469,DE,NL,credit,19,6,2,"unusual amount ($529), rare counter party country, unusual activity in month 2",-0.045198906433438935
14258064,2020-01-27 00:27:59,373.0,365,98426,DE,FR,credit,0,0,1,"unusual time of day (0:00), unusual activity in month 1, unusual amount ($373)",-0.04514628070352
14258066,2020-01-27 00:27:59,373.0,365,98426,DE,FR,credit,0,0,1,"unusual time of day (0:00), unusual activity in month 1, unusual amount ($373)",-0.04514628070352
